Legal	Name	LatDec	LongDec	Start	End	Change
T14 N R38 W 01 BC 1	O-W-3 OBSERVATION	41.2162955	101.634362	3112.90833333333	3112.19166666667	-0.72
T14 N R38 W 02 BB 1	O-W-1 OBSERVATION	41.218356	101.651977	3122.10833333333	3122.18333333333	0.08
T14 N R38 W 02 BD 1	O-W-2 OBSERVATION	41.2166813	101.644154	3119.01666666667	3119.03333333333	0.02
T14 N R38 W 03 BB 6	STA-45 A	41.2204925	101.671274	3185.26833333333	3177.56	-7.71
T14 N R38 W 03 BB 7	STA-45 B	41.2205265	101.670885	3125.39666666667	3123.98833333333	-1.41
T14 N R38 W 03 BB 8	STA-45 C	41.2205644	101.670412	3125.15	3124.05	-1.10
T14 N R38 W 03 CA 3	B-109	41.2126384	101.667681	3125.55833333333	3125.075	-0.48
T14 N R38 W 03 CA 4	B-110	41.2109413	101.668423	3144.03333333333	3139.96666666667	-4.07
T14 N R38 W 03 CB 11	STA-20 A	41.2136599	101.670466	3186.20666666667	3183.065	-3.14
T14 N R38 W 03 CB 12	STA-20 B	41.2136739	101.670078	3141.10333333333	3140.06166666667	-1.04
T14 N R38 W 03 CB 13	STA-20 C	41.2137031	101.669608	3124.86666666667	3123.625	-1.24
T14 N R38 W 03 CD 1	S-37 OBSERVATION	41.2096866	101.663299	3140.26461538462	3136.31076923077	-3.95
T14 N R38 W 03 DA 1	E-19 OBSERVATION	41.2113019	101.653925	3122.99	3122.54	-0.45
T15 N R37 W 29 CC 1	E-8 OBSERVATION	41.2363688	101.596231	3112.205	3111.06333333333	-1.14
T15 N R38 W 27  1	E-46 OBSERVATION	41.2359673	101.663785	3131.73	3128.48833333333	-3.24
T15 N R38 W 27 CC 1	K-54 OBSERVATION	41.238133	101.672436	3187.325	3166.78333333333	-20.54
T15 N R38 W 27 CC 2	K-33 OBSERVATION	41.2367381	101.672247	3174.19166666667	3158.89166666667	-15.30
T15 N R38 W 28 AB 1	N-42 OBSERVATION	41.2499112	101.681236	3229.88090909091	3199.98285714286	-29.90
T15 N R38 W 28 DD 3	A-21 OBSERVATION	41.2376241	101.675132	3245.1	3245.05	-0.05
T15 N R38 W 33 AA 1	K-31 OBSERVATION	41.2350829	101.673093	3171.86666666667	3156.70833333333	-15.16
T15 N R38 W 33 AA 3	A-19 OBSERVATION	41.2344298	101.673429	3194.955	3195.08	0.13
T15 N R38 W 34 AC 1	E-2 OBSERVATION	41.2293775	101.660836	3125.14166666667	3124.7	-0.44
T15 N R38 W 34 BB 11	K-27 OBSERVATION	41.2325195	101.671615	3146.00833333333	3140.65833333333	-5.35
T15 N R38 W 34 BB 12	K-26 OBSERVATION	41.2327566	101.670503	3140.19166666667	3134.89230769231	-5.30
T15 N R38 W 34 BB 3	K-29 OBSERVATION	41.2339132	101.671992	3154.1	3144.99166666667	-9.11
T15 N R38 W 34 BB 4	K-28 OBSERVATION	41.2342738	101.670548	3145.55833333333	3139.31818181818	-6.24
T15 N R38 W 34 BB 5	K-30 OBSERVATION	41.2353243	101.672145	3163.2	3151.25	-11.95
T15 N R38 W 34 BC 10	K-64 OBSERVATION	41.2287919	101.670494	3131.45666666667	3130.19555555556	-1.26
T15 N R38 W 34 BC 11	81-100R OBSERVATION	41.2303393	101.672336	3146.175	3142.375	-3.80
T15 N R38 W 34 BC 3	K-66 OBSERVATION	41.229874	101.670638	3132.66666666667	3131.63333333333	-1.03
T15 N R38 W 34 BC 4	K-67 OBSERVATION	41.2304356	101.670767	3133.60833333333	3132.00833333333	-1.60
T15 N R38 W 34 BC 5	K-68 OBSERVATION	41.2309706	101.670858	3138.215	3135.67333333333	-2.54
T15 N R38 W 34 BC 9	K-65 OBSERVATION	41.2293458	101.670562	3133.11333333333	3131.67166666667	-1.44
T15 N R38 W 34 CB 1	K-62 OBSERVATION	41.2277165	101.670326	3130.35333333333	3129.15333333333	-1.20
T15 N R38 W 34 CB 10	STA-70 B	41.2273615	101.671694	3129.92833333333	3127.19	-2.74
T15 N R38 W 34 CB 2	K-63 OBSERVATION	41.2282566	101.67043	3131.03	3129.81333333333	-1.22
T15 N R38 W 34 CB 6	A-13	41.2276451	101.671249	3136.355	3136.43	0.08
T15 N R38 W 34 CB 9	STA-70 A	41.2273302	101.672071	3181.52666666667	3171.435	-10.09
T15 N R38 W 34 CC 1	61-100R OBSERVATION	41.224865	101.671688	3138.24166666667	3136.90833333333	-1.33
T15 N R38 W 34 DB 1	E-3 OBSERVATION	41.2258344	101.660827	3124.31	3124.70166666667	0.39
